from	to	r	t	p.value	FDR	significant	group
novel_gene_2414_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_2568_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_2908_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_2912_5bd9a17a	evm.TU.05.339	0.99756611166247	28.61348638599813	4.439254855170791e-6	5.172573973161695e-4	TRUE	0
novel_gene_2991_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_3047_5bd9a17a	evm.TU.05.339	0.9999433036632376	187.81013737729575	2.4108103894756764e-9	2.2565185245492333e-6	TRUE	0
novel_gene_3110_5bd9a17a	evm.TU.05.339	0.9986520820629161	38.48078127956952	1.3620498216171773e-6	2.1600272869287822e-4	TRUE	0
novel_gene_3146_5bd9a17a	evm.TU.05.339	0.9921482182616166	15.865786996663484	4.611684082908638e-5	0.001628881623246221	TRUE	0
novel_gene_3216_5bd9a17a	evm.TU.05.339	0.9941248436781974	18.36897983987515	2.5837397483227715e-5	0.001628881623246221	TRUE	0
novel_gene_3490_5bd9a17a	evm.TU.05.339	0.995121548303896	20.173462343624134	1.782044229058838e-5	0.00145042904208615	TRUE	0
novel_gene_3491_5bd9a17a	evm.TU.05.339	0.9986409511062098	38.322553154974116	1.384632876236399e-6	2.1600272869287822e-4	TRUE	0
novel_gene_3553_5bd9a17a	evm.TU.05.339	0.9998466302271282	114.18134393296079	1.7640813521106728e-8	1.1007867637170599e-5	TRUE	0
novel_gene_3608_5bd9a17a	evm.TU.05.339	0.9997824965486909	95.87625616636784	3.547824109872502e-8	1.660381683420331e-5	TRUE	0
novel_gene_3816_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_3827_5bd9a17a	evm.TU.05.339	0.9988205071581334	41.14176252553117	1.042992294408474e-6	1.9524815751326632e-4	TRUE	0
novel_gene_3926_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
novel_gene_3974_5bd9a17a	evm.TU.05.339	0.9902998712755876	14.254392465174725	7.0341195618747e-5	0.00231015295084727	TRUE	0
novel_gene_727_5bd9a17a	evm.TU.05.339	0.9921482182616167	15.8657869966636	4.611684082908507e-5	0.001628881623246221	TRUE	0
evm.TU.07.1136	evm.TU.05.341	0.9955435608934572	21.113764288221322	1.4872761080240936e-5	0.027826935981130792	FALSE	0
evm.TU.08.127	evm.TU.05.341	0.993519715419787	17.482324560593554	3.142753276978826e-5	0.02940045690613692	FALSE	0
evm.TU.08.973	evm.TU.05.341	0.9916078719591634	15.340234327824355	5.267309998415061e-5	0.0318428162263447	FALSE	0
evm.TU.07.1128	evm.TU.05.348	0.9895687612833268	13.738159489245701	8.132429816916068e-5	0.019009554697041308	FALSE	0
evm.TU.07.1562	evm.TU.05.348	0.9976936117625297	29.396561855464	3.986502860662277e-6	0.003727380174719229	TRUE	0
evm.TU.07.280	evm.TU.05.348	0.9984585662026927	35.97907802434719	1.7810979949405404e-6	0.0033306532505388104	TRUE	0
evm.TU.07.742	evm.TU.05.348	0.989683284944697	13.81540234921441	7.955144326459434e-5	0.019009554697041308	FALSE	0
evm.TU.08.179	evm.TU.05.348	0.9899130965843126	13.974332720350127	7.605264082627232e-5	0.019009554697041308	FALSE	0
evm.TU.08.921	evm.TU.05.348	0.987621362117688	12.592652345487982	1.1444881010394298e-4	0.021176432857922724	FALSE	0
evm.TU.09.1251	evm.TU.05.348	0.99314542689321506	16.99351200708747	3.5158363532276206e-5	0.017710944628873168	FALSE	0
novel_gene_1140_5bd9a17a	evm.TU.05.348	0.9928843417175205	16.675546206332655	3.7884373537696615e-5	0.017710944628873168	FALSE	0
novel_gene_2935_5bd9a17a	evm.TU.05.348	0.9902795616665644	14.23927393612799	7.063557747241136e-5	0.019009554697041308	FALSE	0
novel_gene_2937_5bd9a17a	evm.TU.05.348	0.9870699429929802	12.316041008631178	1.248493483162696e-4	0.021176432857922724	FALSE	0
evm.TU.05.722	evm.TU.05.356	0.9934139184226732	17.339953964440806	3.246093266401879e-5	0.017921064543425482	FALSE	0
evm.TU.06.1049	evm.TU.05.356	0.9949650792014323	19.855181590652492	1.8980911237284696e-5	0.017921064543425482	FALSE	0
evm.TU.06.1866	evm.TU.05.356	0.9875295347870976	12.54532641998531	1.1614954865611354e-4	0.01889053558978124	FALSE	0
evm.TU.06.2040	evm.TU.05.356	0.9895325398210203	13.713992062795228	8.188906800559408e-5	0.017921064543425482	FALSE	0
